lat,lon,kind
45.4629199,9.0768847,marketplace
45.604417,9.2352778,pharmacy
45.5181954,9.208364,pharmacy
45.5316953,9.2307594,supermarket
45.5384418,9.1772928,supermarket
45.3777161,9.1459588,school
45.384878,9.1580837,pharmacy
45.3791905,9.1754131,school
45.4728791,9.2072102,supermarket
45.5383768,9.1883382,supermarket
45.4508574,9.1398797,supermarket
45.4270371,9.1762865,pharmacy
45.4318614,9.1824334,supermarket
45.6140681,9.2122532,school
45.5941834,9.2319227,pharmacy
45.4870683,9.0534491,supermarket
45.5144985,9.3648882,pharmacy
45.5146714,9.3646093,supermarket
45.5798381,9.1508784,supermarket
45.5557494,9.209536,supermarket
45.5415473,9.1891114,pharmacy
45.5386466,9.1904356,pharmacy
45.5404785,9.1866052,pharmacy
45.5354358,9.1932144,pharmacy
45.5362612,9.1869798,pharmacy
45.5402542,9.1963908,pharmacy
45.5323859,9.1963372,pharmacy
45.5286298,9.1892814,pharmacy
45.4986224,9.2362877,supermarket
45.5201786,9.170048,supermarket
45.5122981,9.224153,supermarket
45.4963392,9.2356947,pharmacy
45.4855723,9.1991097,school
45.48557,9.2005708,school
45.5906164,9.2088139,pharmacy
45.4854042,9.1988198,supermarket
45.4845447,9.2156943,pharmacy
45.4320489,9.2441254,pharmacy
45.4357481,9.2406348,pharmacy
45.5758034,9.0668052,supermarket
45.4451009,9.1236387,retail
45.5289458,9.2180977,supermarket
45.4412826,9.1723644,pharmacy
45.4501587,9.2133572,supermarket
45.4782829,9.2085924,supermarket
45.4400704,9.2229674,supermarket
45.490902,9.2332346,supermarket
45.5140598,9.1741569,supermarket
45.5157405,9.1722095,pharmacy
45.4557377,9.2173558,pharmacy
45.4522965,9.220793,pharmacy
45.5171472,9.1708761,pharmacy
45.4625017,9.1935439,pharmacy
45.4633628,9.1987561,pharmacy
45.6069252,9.1315527,pharmacy
45.53277,9.2273734,supermarket
45.5319038,9.2327931,supermarket
45.5338981,9.238578,supermarket
45.5443592,9.2232511,pharmacy
45.4414949,9.2135923,pharmacy
45.5113662,9.2041866,supermarket
45.644013,9.2074365,marketplace
45.4816088,9.1970265,pharmacy
45.4722181,9.1840218,pharmacy
