lat,lon,population,reachable_pois
45.107804,7.548202,672.0,437
45.1117,7.548103,668.0,284
45.115597,7.548004,317.0,140
45.13508,7.547509,113.0,30
45.138977,7.547411,117.0,52
45.000706,7.555667,370.0,207
45.004603,7.555569,362.0,428
45.008499,7.555471,451.0,678
45.012396,7.555374,458.0,638
45.016293,7.555276,224.0,412
45.063053,7.554098,429.0,438
45.06695,7.554,452.0,638
45.070846,7.553902,984.0,885
45.074743,7.553803,1253.0,774
45.07864,7.553705,983.0,474
45.082536,7.553607,266.0,410
45.086433,7.553508,271.0,339
45.098123,7.553213,325.0,841
45.102019,7.553115,400.0,765
45.105916,7.553016,353.0,530
45.109813,7.552918,268.0,323
45.113709,7.552819,253.0,142
45.137089,7.552228,100.0,32
45.061165,7.558909,218.0,470
45.065061,7.558811,519.0,620
45.068958,7.558713,569.0,853
45.072855,7.558615,1125.0,991
45.076751,7.558517,1126.0,715
45.080648,7.558419,493.0,701
45.084545,7.558321,371.0,634
45.088441,7.558223,247.0,559
45.092338,7.558125,113.0,786
45.096235,7.558027,138.0,895
45.100131,7.557929,294.0,702
45.104028,7.55783,294.0,491
45.107925,7.557732,169.0,329
45.111821,7.557634,154.0,166
45.063173,7.563621,502.0,677
45.06707,7.563524,541.0,825
45.070966,7.563426,921.0,1010
45.074863,7.563329,1153.0,909
45.07876,7.563231,975.0,922
45.082656,7.563133,391.0,917
45.086553,7.563035,394.0,738
45.09045,7.562938,155.0,807
45.094346,7.56284,156.0,844
45.098243,7.562742,226.0,721
45.10214,7.562644,267.0,453
45.106036,7.562547,223.0,292
45.109933,7.562449,137.0,168
45.11383,7.562351,132.0,39
45.137209,7.561763,113.0,46
45.141106,7.561666,107.0,73
45.010627,7.569694,101.0,587
45.014524,7.569597,103.0,779
45.018421,7.5695,337.0,747
45.022318,7.569403,351.0,774
45.026214,7.569306,147.0,942
45.053491,7.568626,510.0,636
45.057388,7.568529,703.0,802
45.061285,7.568432,1013.0,795
45.065181,7.568334,1526.0,807
45.069078,7.568237,1562.0,982
45.072975,7.56814,1956.0,1079
45.076871,7.568043,1963.0,1015
45.080768,7.567945,998.0,1050
45.084665,7.567848,774.0,930
45.088561,7.56775,735.0,959
45.092458,7.567653,684.0,930
45.096355,7.567556,610.0,947
45.131424,7.566678,378.0,137
45.139218,7.566483,168.0,141
45.008738,7.5745,112.0,409
45.012635,7.574404,129.0,656
45.016532,7.574307,270.0,969
45.020429,7.57421,455.0,792
45.024325,7.574113,414.0,755
45.051602,7.573436,123.0,715
45.055499,7.573339,779.0,855
45.059396,7.573242,779.0,897
45.063292,7.573145,1539.0,959
45.067189,7.573048,1610.0,972
45.071086,7.572951,1845.0,1139
45.074983,7.572854,2007.0,1088
45.078879,7.572757,1741.0,1112
45.082776,7.57266,788.0,1051
45.086673,7.572563,788.0,1025
45.090569,7.572466,700.0,990
45.094466,7.572369,697.0,958
45.098363,7.572271,239.0,884
45.125639,7.571591,278.0,178
45.129536,7.571494,378.0,266
45.133433,7.571397,304.0,266
45.137329,7.571299,168.0,284
45.141226,7.571202,160.0,190
45.010746,7.579209,120.0,483
45.014643,7.579113,118.0,714
45.01854,7.579016,465.0,990
45.022436,7.57892,483.0,889
45.026333,7.578824,203.0,930
45.05361,7.578148,493.0,864
45.057507,7.578051,682.0,981
45.061404,7.577955,973.0,965
45.0653,7.577858,1549.0,1027
45.069197,7.577762,1552.0,1053
45.073094,7.577665,1562.0,1131
45.07699,7.577568,1540.0,1103
45.080887,7.577472,740.0,1121
45.084784,7.577375,513.0,1099
45.08868,7.577278,477.0,1023
45.092577,7.577181,431.0,893
45.096474,7.577085,381.0,970
45.127647,7.57631,485.0,380
45.131544,7.576213,488.0,486
45.13544,7.576116,174.0,498
45.139337,7.576019,139.0,328
44.954302,7.585357,134.0,69
44.958199,7.585261,207.0,73
45.01665,7.583823,287.0,790
45.020547,7.583726,697.0,1001
45.024444,7.58363,647.0,951
45.055618,7.582861,385.0,961
45.059514,7.582765,385.0,822
45.063411,7.582668,1282.0,922
45.067308,7.582572,1390.0,1005
45.071205,7.582476,929.0,1182
45.075101,7.582379,566.0,1212
45.078998,7.582283,460.0,1161
45.125758,7.581125,420.0,500
45.129655,7.581028,583.0,638
45.133551,7.580932,432.0,492
45.137448,7.580835,116.0,338
44.956309,7.590062,242.0,116
44.960206,7.589967,242.0,80
45.018658,7.588533,653.0,847
45.022554,7.588437,698.0,1110
45.026451,7.588341,311.0,1053
45.053728,7.58767,268.0,963
45.057625,7.587574,385.0,880
45.061522,7.587478,697.0,901
45.065418,7.587382,1390.0,1002
45.069315,7.587286,1371.0,1158
45.073212,7.58719,566.0,1251
45.077109,7.587094,566.0,1266
45.081005,7.586998,145.0,1195
45.127766,7.585844,582.0,553
45.131662,7.585747,582.0,372
45.135559,7.585651,172.0,263
45.139456,7.585555,115.0,163
44.954419,7.594863,197.0,95
44.958316,7.594767,313.0,112
44.962213,7.594672,251.0,77
45.001181,7.59372,432.0,345
45.005078,7.593625,447.0,447
45.008974,7.593529,122.0,416
45.016768,7.593338,175.0,699
45.020665,7.593243,436.0,916
45.024561,7.593147,413.0,1129
45.028458,7.593052,224.0,1043
45.032355,7.592956,229.0,895
45.055735,7.592383,166.0,874
45.059632,7.592288,160.0,889
45.063529,7.592192,762.0,1032
45.067426,7.592096,837.0,1113
45.071322,7.592001,919.0,1231
45.075219,7.591905,1021.0,1314
45.079116,7.591809,856.0,1267
45.129773,7.590563,110.0,385
44.956426,7.599568,606.0,110
44.960323,7.599473,606.0,141
44.999291,7.598524,573.0,327
45.003188,7.598429,1077.0,484
45.007085,7.598334,911.0,527
45.022672,7.597954,102.0,977
45.026568,7.597858,272.0,1167
45.030465,7.597763,389.0,1089
45.034362,7.597668,307.0,974
45.061639,7.597001,146.0,980
45.065536,7.596906,503.0,1052
45.069433,7.596811,506.0,1238
45.073329,7.596715,1262.0,1271
45.077226,7.59662,1262.0,1247
45.081123,7.596524,339.0,1177
44.954536,7.604368,353.0,74
44.958433,7.604274,606.0,137
44.96233,7.604179,493.0,141
45.001298,7.603233,1075.0,367
45.005194,7.603138,1077.0,554
45.009091,7.603044,313.0,524
45.020782,7.602759,102.0,933
45.024678,7.602665,114.0,1081
45.028575,7.60257,389.0,1178
45.032472,7.602475,389.0,1149
45.063646,7.601715,444.0,1095
45.067543,7.60162,525.0,1237
45.071439,7.601525,893.0,1297
45.075336,7.60143,1264.0,1310
45.079233,7.601335,1085.0,1229
45.22341,7.597804,174.0,21
45.227307,7.597708,549.0,20
45.231203,7.597612,559.0,20
45.2351,7.597516,461.0,22
44.929265,7.609733,187.0,5
44.933161,7.609638,191.0,5
44.960439,7.60898,315.0,133
44.964336,7.608886,154.0,155
44.999407,7.608037,182.0,282
45.003304,7.607943,342.0,426
45.007201,7.607848,308.0,536
45.011098,7.607754,115.0,628
45.014995,7.607659,117.0,885
45.018891,7.607565,619.0,983
45.022788,7.60747,697.0,1086
45.026685,7.607376,385.0,1111
45.030582,7.607281,116.0,1198
45.034478,7.607187,145.0,1158
45.038375,7.607092,248.0,1027
45.042272,7.606998,253.0,804
45.061756,7.606525,404.0,1112
45.065653,7.60643,1342.0,1177
45.069549,7.606335,1350.0,1259
45.073446,7.606241,1319.0,1284
45.077343,7.606146,1318.0,1243
45.081239,7.606051,448.0,1145
45.112413,7.605292,121.0,386
45.22152,7.602627,147.0,21
45.225417,7.602531,628.0,21
45.229313,7.602436,830.0,21
45.23321,7.60234,797.0,22
44.927374,7.61453,129.0,5
44.931271,7.614436,260.0,5
44.935168,7.614343,229.0,5
44.966342,7.613592,152.0,188
44.970239,7.613498,152.0,167
44.974136,7.613404,118.0,175
44.978033,7.61331,115.0,100
45.009207,7.612558,116.0,683
45.013104,7.612464,149.0,810
45.017001,7.61237,369.0,1001
45.020898,7.612276,859.0,1092
45.024794,7.612182,842.0,1096
45.036485,7.611899,235.0,1122
45.040382,7.611805,292.0,1002
45.044278,7.611711,218.0,953
45.063762,7.611239,1168.0,1186
45.067659,7.611145,1403.0,1251
45.071556,7.61105,1365.0,1299
45.075452,7.610956,1321.0,1310
45.079349,7.610862,1173.0,1246
45.110523,7.610105,121.0,538
45.11442,7.610011,121.0,648
45.21963,7.607449,146.0,4
45.223527,7.607354,227.0,21
45.227424,7.607259,825.0,21
45.23132,7.607164,823.0,22
45.235217,7.607068,724.0,23
44.92938,7.619234,253.0,5
44.933277,7.619141,260.0,5
44.964452,7.618393,131.0,107
44.968348,7.618299,151.0,153
44.972245,7.618206,137.0,235
44.976142,7.618112,118.0,183
44.980039,7.618018,112.0,144
45.011213,7.617269,210.0,924
45.01511,7.617175,218.0,988
45.019007,7.617081,741.0,1051
45.022904,7.616987,829.0,1107
45.026801,7.616893,430.0,1202
45.034594,7.616706,140.0,1188
45.038491,7.616612,636.0,1153
45.042388,7.616518,664.0,1054
45.046284,7.616424,366.0,1085
45.050181,7.61633,362.0,1135
45.054078,7.616236,362.0,1115
45.057975,7.616142,367.0,1167
45.061872,7.616048,663.0,1202
45.065768,7.615954,1608.0,1234
45.069665,7.61586,1619.0,1318
45.073562,7.615766,1641.0,1352
45.077459,7.615672,1656.0,1320
45.081355,7.615578,852.0,1258
45.085252,7.615483,477.0,1156
45.089149,7.615389,365.0,1035
45.100839,7.615107,202.0,868
45.104736,7.615012,207.0,852
45.108633,7.614918,246.0,775
45.112529,7.614824,261.0,821
45.116426,7.61473,294.0,838
45.120323,7.614635,353.0,530
45.12422,7.614541,353.0,373
45.128116,7.614447,176.0,172
45.19436,7.61284,107.0,0
45.198257,7.612745,142.0,3
45.202153,7.61265,165.0,3
45.20605,7.612556,140.0,3
45.225533,7.612082,338.0,21
45.22943,7.611987,468.0,21
45.233327,7.611892,361.0,22
45.237223,7.611797,114.0,10
44.939179,7.623752,201.0,5
44.943076,7.623659,205.0,7
44.946973,7.623566,278.0,7
44.95087,7.623473,296.0,7
44.954767,7.623379,200.0,7
44.974251,7.622913,248.0,249
44.978148,7.62282,270.0,233
44.982045,7.622727,176.0,215
44.985942,7.622633,110.0,286
45.001529,7.62226,292.0,480
45.005426,7.622166,304.0,770
45.009322,7.622073,645.0,974
45.013219,7.62198,822.0,1101
45.017116,7.621886,766.0,1097
45.021013,7.621793,620.0,1127
45.02491,7.621699,618.0,1212
45.028807,7.621606,170.0,1277
45.032703,7.621512,170.0,1211
45.0366,7.621418,1619.0,1188
45.040497,7.621325,2147.0,1181
45.044394,7.621231,1831.0,1173
45.04829,7.621138,1245.0,1179
45.052187,7.621044,1242.0,1222
45.056084,7.62095,1183.0,1217
45.059981,7.620857,1184.0,1265
45.063878,7.620763,1918.0,1275
45.067774,7.620669,2106.0,1325
45.071671,7.620575,2194.0,1359
45.075568,7.620482,2314.0,1387
45.079465,7.620388,2199.0,1315
45.083361,7.620294,1142.0,1249
