lat,lon,population,reachable_pois
45.418511,9.071264,639.0,720
45.422408,9.071269,621.0,900
45.426306,9.071274,614.0,1148
45.445794,9.071298,298.0,570
45.449692,9.071303,807.0,950
45.45359,9.071308,773.0,1084
45.457487,9.071313,109.0,850
45.461385,9.071318,110.0,603
45.465283,9.071323,216.0,589
45.46918,9.071328,241.0,860
45.473078,9.071333,179.0,835
45.492566,9.071357,251.0,1587
45.496463,9.071362,282.0,1450
45.500361,9.071367,138.0,1179
45.512054,9.071382,288.0,1044
45.515951,9.071387,288.0,1335
45.527644,9.071402,366.0,662
45.531542,9.071406,610.0,756
45.535439,9.071411,568.0,473
45.539337,9.071416,421.0,366
45.543235,9.071421,421.0,223
45.547132,9.071426,1011.0,246
45.55103,9.071431,1031.0,160
45.554927,9.071436,770.0,122
45.558825,9.071441,643.0,85
45.562722,9.071446,725.0,73
45.56662,9.071451,926.0,54
45.570517,9.071456,926.0,54
45.574415,9.071461,993.0,54
45.578313,9.071466,993.0,51
45.58221,9.071471,783.0,11
45.586108,9.071476,711.0,5
45.590005,9.071481,851.0,9
45.593903,9.071486,1096.0,9
45.5978,9.07149,1042.0,9
45.416559,9.076054,710.0,453
45.420457,9.076059,610.0,594
45.424354,9.076065,593.0,959
45.428252,9.07607,305.0,959
45.44774,9.076096,744.0,683
45.451638,9.076101,821.0,1084
45.455535,9.076107,410.0,1244
45.459433,9.076112,111.0,1091
45.463331,9.076117,138.0,983
45.467228,9.076122,241.0,933
45.471126,9.076128,241.0,1167
45.475023,9.076133,104.0,1094
45.490614,9.076154,121.0,1615
45.494512,9.076159,282.0,1688
45.510102,9.07618,210.0,1572
45.514,9.076185,288.0,1466
45.517897,9.076191,190.0,1432
45.52959,9.076206,610.0,1121
45.533487,9.076212,610.0,830
45.537385,9.076217,460.0,447
45.541283,9.076222,421.0,313
45.54518,9.076227,679.0,369
45.549078,9.076233,1031.0,193
45.552975,9.076238,994.0,152
45.556873,9.076243,643.0,106
45.56077,9.076249,643.0,91
45.564668,9.076254,885.0,58
45.568566,9.076259,926.0,58
45.572463,9.076264,959.0,54
