lat,lon
45.6290153,9.1468116
45.6284889,9.1464429
45.466266,9.1953777
45.6025269,9.2995015
45.4578666,9.2234887
45.4686008,9.223435
45.4788495,9.1858275
45.4793081,9.1857787
45.4776991,9.1851362
45.4808103,9.1860223
45.4806591,9.182606
45.4808601,9.1857179
45.4840136,9.1983021
45.4883605,9.2049018
45.4722688,9.1869807
45.4871393,9.2012042
45.4722447,9.1868862
45.4717843,9.1860825
45.4832616,9.1980193
45.4717191,9.1855062
45.5829241,9.280882
45.5823601,9.2763407
45.5841904,9.2718656
45.4929321,9.1884381
45.4936373,9.1880252
45.4918116,9.188719
45.4921349,9.1888927
45.491624,9.1917798
45.4470371,9.153374
45.5913995,9.2678835
45.587039,9.2705033
45.5873715,9.2718808
45.6857327,9.2450738
45.6863344,9.2475099
45.5862151,9.2809876
45.5865624,9.2831038
45.4738339,9.3069376
45.6177446,9.3147652
45.5837644,9.2705406
45.5826644,9.2710366
45.4899919,9.1957813
45.5851218,9.2769815
45.5786525,9.2755864
45.5830228,9.288385
45.5827396,9.2899394
45.488097,9.1886929
45.3449504,9.1707495
45.5770806,9.2686678
45.4876255,9.1875046
45.4888438,9.1892082
45.4605317,9.1864074
45.4580759,9.1875313
45.4576253,9.1874678
45.4561505,9.1873092
45.4566959,9.1873234
45.5837118,9.2838874
45.5866227,9.2695078
45.5880812,9.2696259
45.5841295,9.2651375
45.4859277,9.1869256
45.4860425,9.1883419
45.4867373,9.1912629
45.4861685,9.1883768
45.4877353,9.1918014
45.4814769,9.1869971
45.4645223,9.1884182
45.4641371,9.2304178
45.5860902,9.2850146
45.5863071,9.2850882
45.5866453,9.2841031
45.4784492,9.1846256
45.4788629,9.1843597
45.5758803,9.280245
45.5758539,9.280025
45.5825311,9.2693074
45.5837101,9.2660922
45.5809689,9.2665155
45.462983,9.1835919
45.4629296,9.1836757
45.4801179,9.195113
45.662909,9.1063668
45.486859,9.1853403
45.4867123,9.1885173
45.4874287,9.1884491
45.4871335,9.1868745
45.4879373,9.1875906
45.4881423,9.1882639
45.4772153,9.1921187
45.4716544,9.1841885
45.4717374,9.1845058
45.4875546,9.1949187
45.4876468,9.1886438
45.4888963,9.1886814
45.4889791,9.1877761
45.4895874,9.1858114
45.4904965,9.1886948
45.4902736,9.1885848
45.4912822,9.1877493
45.4788607,9.227843
45.4623084,9.1740873
45.4682134,9.1729884
45.4496167,9.1902635
45.5947037,9.2666368
45.5963975,9.2689007
45.6597561,9.1592524
45.5797232,9.2691938
45.5798447,9.2695653
45.5800801,9.2704687
45.579327,9.2669701
45.579373,9.2671719
45.5780638,9.268044
45.5026769,9.1816802
45.5485979,9.1857325
45.4715625,9.1847903
45.4549359,9.1989759
45.5932701,9.2917597
45.4670377,9.1652601
45.4962176,9.1800165
45.4685159,9.2232475
45.4852203,9.1823286
45.5906564,9.2572021
45.5556357,9.1639761
45.4373001,9.2351517
45.4371523,9.2305729
45.4534199,9.1802206
45.4846066,9.2172887
45.4796655,9.2044743
45.4945161,9.1846892
45.5735407,9.2682476
45.5850231,9.2810316
45.4808057,9.2159641
45.5804927,9.2860359
45.4969008,9.1887331
45.588458,9.2889147
45.4576331,9.2202798
45.5010759,9.2214519
45.5016266,9.2285976
45.4755515,9.183208
45.502967,9.1619773
45.5318576,9.0681624
45.4737205,9.1952572
45.5039512,9.1658458
45.3576226,9.3169102
45.4999673,9.2348449
45.4858572,8.9996399
45.4540416,9.2158882
45.4157477,9.264806
45.5900141,9.2552699
45.5879466,9.2660371
45.5904576,9.2675071
45.5891941,9.2661475
45.4800848,9.2214071
45.4869276,9.2193417
45.4707866,9.1595959
45.6275366,9.1468833
45.5140048,9.1470218
45.51249,9.1574933
45.5058013,9.1358726
45.4518391,9.1793271
45.5301541,9.1489382
45.6471461,9.3805142
45.4480115,9.1453192
45.4920972,9.2163221
45.4833955,9.2154581
45.432567,9.2887008
45.5859026,9.2620718
45.5615456,9.241882
45.4900957,9.2951577
45.4958911,9.2973908
45.5530814,9.2384856
45.5856095,9.2804733
45.4888523,9.1873483
45.4506533,9.1684471
45.4819727,9.1883773
45.4821388,9.1875233
45.4815582,9.1873551
45.4816726,9.1873922
45.4809803,9.1878602
45.4809725,9.1881291
45.4915528,9.2934006
45.4841661,9.2224356
45.4518362,9.1703637
45.4979945,9.2989149
45.5244187,9.1926657
45.4508582,9.1696592
45.4516557,9.1734709
45.4511723,9.17129
45.4515108,9.1726498
45.4509513,9.1701547
45.4512397,9.171564
45.4512206,9.1715044
45.4971299,9.183472
45.5837707,9.2827867
45.5835003,9.2855686
45.4687778,9.2782676
45.4653673,9.2802859
45.4503019,9.1689563
45.4499213,9.1681666
45.5169937,9.1713465
45.5421618,9.4806036
45.4521045,9.1754067
45.451761,9.1707121
45.4517684,9.1739966
45.4511034,9.1724302
45.4521436,9.1759208
45.4522598,9.1764432
45.4555158,9.173327
45.4704439,9.2303413
45.4712998,9.2303118
45.488085,9.1622782
45.5899833,9.2877656
45.4964096,9.1814576
45.5774026,9.2724802
45.5042577,9.1770992
45.4694618,9.1853824
45.4736776,9.1834143
45.4719324,9.1855294
45.5154761,9.4786161
45.4797192,9.1462562
45.5855798,9.2784883
45.4575876,9.2191361
45.4652609,9.1357694
45.4285732,9.3073038
45.4283443,9.30737
45.5810962,9.2904402
45.5825628,9.2921
45.4559765,9.199413
45.4846086,9.2165504
45.4276543,9.2496533
45.4660583,9.1378821
45.6350448,9.3514277
45.6357096,9.0353742
45.5890131,9.2622548
45.5887326,9.2643179
45.5893655,9.2637394
45.4612432,9.1356707
45.4584662,9.1312293
45.4683846,9.2229255
45.4688717,9.1721063
45.4694801,9.1713202
45.5860875,9.2614439
45.4889518,9.0528748
45.4453155,9.1572937
45.4817879,9.1840786
45.4828177,9.1862264
